#--- Landscape descriptors, from ADse-UFPM_Landscape.py ---
# Scene S2C_MSIL2A_20250803T033601_R061_T48RVU_20250803T085013, 2025-08-03.
park_area,36572.1,ha,Measured from the boundary polygon
edge_density,8.6,m/ha,Park outline only
shape_index,4.65,,1.0 for a circle
edge_fraction,0.085,,Share of the park within 100 m of the boundary
canopy_observed,0.419,,Share of the park with ndvi above 0.7
canopy_edge_density,203.6,m/ha,All canopy edge including internal gaps
division_index,0.990,,0 for one unbroken canopy patch
largest_patch,0.017,,Largest canopy patch as a share of the park
core_canopy_30,0.175,,Canopy deeper than 30 m inside a patch
matrix_built,0.124,,Built share of the 1000 m ring around the park
access_density,29.1,m/ha,Roads and paths inside the park
vehicle_density,27.6,m/ha,Vehicle-usable roads only
edge_per_staff,41364,m,Canopy edge divided by permanent staff
